,fullName,country,politicalGroup,PoliticalInfluence,SocialInfluence,OverallInfluence
475,Manuel PIZARRO,Portugal,S&D,89,42,66
476,Rovana PLUMB,Romania,S&D,100,12,56
477,Stanislav POLČÁK,Czechia,EPP,15,74,44
478,Jessica POLFJÄRD,Sweden,EPP,5,67,36
479,Peter POLLÁK,Slovakia,EPP,79,90,84
480,Clara PONSATÍ OBIOLS,Spain,Non-attached Members,91,26,58
481,Tomasz Piotr PORĘBA,Poland,ECR,90,44,67
482,Jiří POSPÍŠIL,Czechia,EPP,96,91,94
483,Nicola PROCACCINI,Italy,ECR,13,16,14
484,Carles PUIGDEMONT I CASAMAJÓ,Spain,Non-attached Members,18,40,29
485,Miroslav RADAČOVSKÝ,Slovakia,Non-attached Members,26,79,52
486,Emil RADEV,Bulgaria,EPP,71,55,63
487,Dennis RADTKE,Germany,EPP,11,31,21
488,Samira RAFAELA,Netherlands,Renew Europe,85,57,71
489,Elżbieta RAFALSKA,Poland,ECR,95,70,82
490,Paulo RANGEL,Portugal,EPP,25,71,48
491,Luisa REGIMENTI,Italy,EPP,47,7,27
492,Evelyn REGNER,Austria,S&D,60,39,50
493,Sira REGO,Spain,GUE/NGL,76,84,80
494,Guido REIL,Germany,ID,78,94,86
495,Terry REINTKE,Germany,Greens/EFA,62,72,67
496,Karlo RESSLER,Croatia,EPP,5,78,42
497,Thijs REUTEN,Netherlands,S&D,76,38,57
498,Diana RIBA I GINER,Spain,Greens/EFA,89,37,63
499,Frédérique RIES,Belgium,Renew Europe,72,35,54
500,Antonio Maria RINALDI,Italy,ID,79,35,57
501,Manuela RIPA,Germany,Greens/EFA,30,72,51
502,Dominique RIQUET,France,Renew Europe,72,50,61
503,Michèle RIVASI,France,Greens/EFA,73,12,42
504,Jérôme RIVIÈRE,France,ID,3,36,20
505,Inma RODRÍGUEZ-PIÑERO,Spain,S&D,54,24,39
506,Eugenia RODRÍGUEZ PALOP,Spain,GUE/NGL,16,46,31
507,María Soraya RODRÍGUEZ RAMOS,Spain,Renew Europe,67,28,48
508,Sándor RÓNAI,Hungary,S&D,88,2,45
509,Daniela RONDINELLI,Italy,Non-attached Members,85,8,46
510,Rob ROOKEN,Netherlands,ECR,88,75,82
511,Dorien ROOKMAKER,Netherlands,Non-attached Members,60,75,68
512,Robert ROOS,Netherlands,ECR,19,6,12
513,Caroline ROOSE,France,Greens/EFA,67,33,50
514,Bronis ROPĖ,Lithuania,Greens/EFA,87,43,65
515,Marcos ROS SEMPERE,Spain,S&D,24,100,62
516,André ROUGÉ,France,ID,32,66,49
517,Bert-Jan RUISSEN,Netherlands,ECR,92,89,90
518,Domènec RUIZ DEVESA,Spain,S&D,6,75,40
519,Bogdan RZOŃCA,Poland,ECR,78,98,88
520,Massimiliano SALINI,Italy,EPP,64,79,72
521,Nacho SÁNCHEZ AMOR,Spain,S&D,14,89,52
522,Anne SANDER,France,EPP,5,13,9
523,Alfred SANT,Malta,S&D,57,7,32
524,Silvia SARDONE,Italy,ID,51,66,58
525,Petri SARVAMAA,Finland,EPP,98,83,90
526,Mounir SATOURI,France,Greens/EFA,37,8,22
527,Christel SCHALDEMOSE,Denmark,S&D,33,10,22
528,Ernő SCHALLER-BAROSS,Hungary,Non-attached Members,96,54,75
529,Andreas SCHIEDER,Austria,S&D,2,38,20
530,Christine SCHNEIDER,Germany,EPP,80,51,66
531,Helmut SCHOLZ,Germany,GUE/NGL,1,25,13
532,Annie SCHREIJER-PIERIK,Netherlands,EPP,0,41,20
533,Liesje SCHREINEMACHER,Netherlands,Renew Europe,1,97,49
534,Sven SCHULZE,Germany,EPP,28,98,63
535,Joachim SCHUSTER,Germany,S&D,82,50,66
536,Andreas SCHWAB,Germany,EPP,24,72,48
537,Stéphane SÉJOURNÉ,France,Renew Europe,57,13,35
538,Monica SEMEDO,Luxembourg,Renew Europe,26,63,44
539,Nico SEMSROTT,Germany,Greens/EFA,71,24,48
540,Radosław SIKORSKI,Poland,EPP,62,3,32
541,Michal ŠIMEČKA,Slovakia,Renew Europe,43,24,34
542,Birgit SIPPEL,Germany,S&D,20,24,22
543,Sara SKYTTEDAL,Sweden,EPP,37,24,30
544,Massimiliano SMERIGLIO,Italy,S&D,3,7,5
545,Michaela ŠOJDROVÁ,Czechia,EPP,52,13,32
546,Jordi SOLÉ,Spain,Greens/EFA,1,54,28
547,Susana SOLÍS PÉREZ,Spain,Renew Europe,50,12,31
548,Martin SONNEBORN,Germany,Non-attached Members,48,28,38
549,Sylwia SPUREK,Poland,Greens/EFA,94,100,97
550,Maria SPYRAKI,Greece,EPP,59,80,70
551,Sergei STANISHEV,Bulgaria,S&D,17,69,43
552,Ivan ŠTEFANEC,Slovakia,EPP,30,10,20
553,Nicolae ŞTEFĂNUȚĂ,Romania,Renew Europe,42,18,30
554,Tineke STRIK,Netherlands,Greens/EFA,87,39,63
555,Ramona STRUGARIU,Romania,Renew Europe,99,79,89
556,Beata SZYDŁO,Poland,ECR,51,19,35
557,Linea SØGAARD-LIDELL,Denmark,Renew Europe,90,36,63
558,Antonio TAJANI,Italy,EPP,92,83,88
559,Paul TANG,Netherlands,S&D,11,82,46
560,Marc TARABELLA,Belgium,S&D,3,15,9
561,Dominik TARCZYŃSKI,Poland,ECR,98,25,62
562,Annalisa TARDINO,Italy,ID,9,100,54
563,Vera TAX,Netherlands,S&D,16,59,38
564,Cristian TERHEŞ,Romania,ECR,57,60,58
565,Riho TERRAS,Estonia,EPP,92,35,64
566,Hermann TERTSCH,Spain,ECR,91,90,90
567,Barbara THALER,Austria,EPP,33,49,41
568,Róża THUN UND HOHENSTEIN,Poland,EPP,8,59,34
569,Irene TINAGLI,Italy,S&D,27,20,24
570,Tomas TOBÉ,Sweden,EPP,71,76,74
571,Grzegorz TOBISZOWSKI,Poland,ECR,99,69,84
572,Patrizia TOIA,Italy,S&D,6,12,9
573,Irène TOLLERET,France,Renew Europe,8,56,32
574,Eugen TOMAC,Romania,EPP,36,4,20
575,Valdemar TOMAŠEVSKI,Lithuania,ECR,79,32,56
576,Romana TOMC,Slovenia,EPP,58,7,32
577,Yana TOOM,Estonia,Renew Europe,86,95,90
578,Nils TORVALDS,Finland,Renew Europe,72,67,70
579,Evžen TOŠENOVSKÝ,Czechia,ECR,58,52,55
580,Edina TÓTH,Hungary,Non-attached Members,16,58,37
581,Marie TOUSSAINT,France,Greens/EFA,6,93,50
582,Isabella TOVAGLIERI,Italy,ID,11,32,22
583,Véronique TRILLET-LENOIR,France,Renew Europe,81,64,72
584,László TRÓCSÁNYI,Hungary,Non-attached Members,44,77,60
585,Dragoş TUDORACHE,Romania,Renew Europe,88,8,48
586,Mihai TUDOSE,Romania,S&D,33,79,56
587,Milan UHRÍK,Slovakia,Non-attached Members,83,38,60
588,István UJHELYI,Hungary,S&D,90,85,88
589,Miguel URBÁN CRESPO,Spain,GUE/NGL,79,41,60
590,Ernest URTASUN,Spain,Greens/EFA,12,12,12
591,Nils UŠAKOVS,Latvia,S&D,85,49,67
592,Viktor USPASKICH,Lithuania,Non-attached Members,72,65,68
593,Inese VAIDERE,Latvia,EPP,11,8,10
594,Monika VANA,Austria,Greens/EFA,44,15,30
595,Kathleen VAN BREMPT,Belgium,S&D,82,53,68
596,Tom VANDENDRIESSCHE,Belgium,ID,7,83,45
597,Tom VANDENKENDELAERE,Belgium,EPP,4,94,49
598,Johan VAN OVERTVELDT,Belgium,ECR,63,40,52
599,Kim VAN SPARRENTAK,Netherlands,Greens/EFA,85,11,48
600,Hilde VAUTMANS,Belgium,Renew Europe,11,83,47
601,Marie-Pierre VEDRENNE,France,Renew Europe,4,10,7
602,Sabine VERHEYEN,Germany,EPP,69,18,44
603,Guy VERHOFSTADT,Belgium,Renew Europe,29,85,57
604,Harald VILIMSKY,Austria,ID,35,35,35
605,Idoia VILLANUEVA RUIZ,Spain,GUE/NGL,65,77,71
606,Nikolaj VILLUMSEN,Denmark,GUE/NGL,64,64,64
607,Loránt VINCZE,Romania,EPP,64,56,60
608,Marianne VIND,Denmark,S&D,100,52,76
609,Henna VIRKKUNEN,Finland,EPP,0,72,36
610,Petar VITANOV,Bulgaria,S&D,77,57,67
611,Viola VON CRAMON-TAUBADEL,Germany,Greens/EFA,93,9,51
612,Alexandr VONDRA,Czechia,ECR,14,55,34
613,Axel VOSS,Germany,EPP,39,11,25
614,Elissavet VOZEMBERG-VRIONIDI,Greece,EPP,28,76,52
615,Veronika VRECIONOVÁ,Czechia,ECR,0,11,6
616,Lucia VUOLO,Italy,Non-attached Members,11,19,15
617,Adrián VÁZQUEZ LÁZARA,Spain,Renew Europe,75,79,77
618,Mick WALLACE,Ireland,GUE/NGL,61,70,66
619,Maria WALSH,Ireland,EPP,88,66,77
620,Marion WALSMANN,Germany,EPP,19,22,20
621,Jörgen WARBORN,Sweden,EPP,17,91,54
622,Witold Jan WASZCZYKOWSKI,Poland,ECR,64,15,40
623,Manfred WEBER,Germany,EPP,72,31,52
624,Charlie WEIMERS,Sweden,ECR,37,34,36
625,Pernille WEISS,Denmark,EPP,13,43,28
626,Emma WIESNER,Sweden,Renew Europe,91,30,60
627,Michal WIEZIK,Slovakia,EPP,71,0,36
628,Iuliu WINKLER,Romania,EPP,69,16,42
629,Angelika WINZIG,Austria,EPP,33,6,20
630,Isabel WISELER-LIMA,Luxembourg,EPP,88,30,59
631,Jadwiga WIŚNIEWSKA,Poland,ECR,2,59,30
632,Tiemo WÖLKEN,Germany,S&D,63,92,78
633,Lara WOLTERS,Netherlands,S&D,83,70,76
634,Salima YENBOU,France,Greens/EFA,96,27,62
635,Stéphanie YON-COURTIN,France,Renew Europe,72,7,40
636,Elena YONCHEVA,Bulgaria,S&D,62,76,69
637,Chrysoula ZACHAROPOULOU,France,Renew Europe,75,0,38
638,Jan ZAHRADIL,Czechia,ECR,48,95,72
639,Anna ZALEWSKA,Poland,ECR,81,80,80
640,Stefania ZAMBELLI,Italy,ID,21,24,22
641,Marco ZANNI,Italy,ID,36,56,46
642,Javier ZARZALEJOS,Spain,EPP,40,39,40
643,Tatjana ŽDANOKA,Latvia,Greens/EFA,99,11,55
644,Tomáš ZDECHOVSKÝ,Czechia,EPP,79,11,45
645,Roberts ZĪLE,Latvia,ECR,17,21,19
646,Bernhard ZIMNIOK,Germany,ID,17,99,58
647,Kosma ZŁOTOWSKI,Poland,ECR,23,93,58
648,Juan Ignacio ZOIDO ÁLVAREZ,Spain,EPP,9,3,6
649,Carlos ZORRINHO,Portugal,S&D,62,83,72
650,Željana ZOVKO,Croatia,EPP,57,99,78
651,Marco ZULLO,Italy,Renew Europe,53,42,48
652,Milan ZVER,Slovenia,EPP,10,36,23
